PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, AC09
Station name, KayakIsl__AK2007
Begin Date, 2007-08-26
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, AC09.pbo.igs08.pos
Offset from source file, 74.95 mm North, -84.06 mm East, 5.05 mm Vertical
Reference position, 59.8684791497 North Latitude, -144.5238475695 East Longitude, 368.88533 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-08-26,0.00, 0.00, 0.00, 1.57, 1.17, 4.72, repro,
2007-08-27,1.49, -0.79, 1.65, 1.54, 1.14, 4.67, repro,
2007-08-28,2.40, -0.37, 3.23, 1.59, 1.17, 4.85, repro,
2007-08-29,0.57, -0.22, 3.81, 1.5, 1.1, 4.55, repro,
2007-08-30,0.84, 1.07, 2.02, 1.51, 1.12, 4.55, repro,
2007-08-31,1.02, -0.43, 0.27, 1.36, 1.03, 4.15, repro,
2007-09-01,1.38, -0.43, 0.49, 1.3, 0.98, 3.97, repro,
2007-09-02,1.49, -0.70, 0.11, 1.32, 0.99, 4.03, repro,
2007-09-03,-0.53, 0.10, -0.25, 1.34, 1.01, 4.08, repro,
2007-09-04,0.97, -2.63, 0.78, 1.7, 1.27, 5.14, repro,
2007-09-05,0.58, -0.91, 7.06, 1.78, 1.31, 5.46, repro,
2007-09-06,0.87, 0.16, 1.57, 1.46, 1.09, 4.44, repro,
2007-09-07,0.82, 0.13, -5.57, 1.49, 1.11, 4.55, repro,
2007-09-08,1.12, -0.21, -1.22, 1.68, 1.24, 5.11, repro,
2007-09-09,1.71, 0.45, -6.90, 1.7, 1.25, 5.18, repro,
2007-09-10,1.04, -0.75, -4.02, 1.96, 1.43, 6.02, repro,
2007-09-11,1.22, -0.53, -5.37, 1.44, 1.08, 4.42, repro,
2007-09-12,1.87, -1.68, -8.27, 2.29, 1.63, 7.11, repro,
2007-09-13,2.57, -0.26, -6.32, 1.76, 1.29, 5.42, repro,
2007-09-14,1.30, -0.82, -0.26, 1.66, 1.21, 5.09, repro,
2007-09-15,0.60, -3.18, -1.06, 1.49, 1.15, 4.6, repro,
2007-09-16,1.98, -2.33, -1.14, 1.84, 1.36, 5.7, repro,
2007-09-17,2.47, -2.05, -4.35, 1.39, 1.05, 4.29, repro,
2007-09-18,2.21, -2.57, -9.47, 1.4, 1.07, 4.27, repro,
2007-09-19,2.16, -2.39, -3.48, 1.66, 1.22, 5.03, repro,
2007-09-20,2.51, -2.10, 2.22, 1.38, 1.02, 4.18, repro,
2007-09-21,2.01, -1.15, 3.57, 1.44, 1.07, 4.34, repro,
2007-09-22,2.66, -2.81, 2.96, 1.49, 1.1, 4.5, repro,
2007-09-23,4.58, -3.78, 1.49, 1.75, 1.27, 5.35, repro,
2007-09-24,4.63, -2.54, 2.54, 1.48, 1.09, 4.51, repro,
2007-09-25,3.35, -2.38, -1.75, 1.55, 1.14, 4.74, repro,
2007-09-26,3.41, -3.01, 3.25, 1.64, 1.21, 4.94, repro,
2007-09-27,3.43, -1.75, -1.18, 1.38, 1.02, 4.19, repro,
2007-09-28,4.17, -4.06, 6.25, 1.58, 1.16, 4.8, repro,
2007-09-29,4.87, -5.54, 2.50, 1.45, 1.07, 4.43, repro,
2007-09-30,3.52, -3.53, 0.78, 1.38, 1.02, 4.23, repro,
2007-10-01,3.85, -3.65, 2.46, 1.51, 1.12, 4.59, repro,
2007-10-02,2.25, -3.61, 1.59, 1.42, 1.04, 4.28, repro,
2007-10-03,3.20, -4.91, -4.47, 1.41, 1.05, 4.32, repro,
2007-10-04,3.85, -3.81, 2.26, 1.43, 1.06, 4.39, repro,
2007-10-05,3.71, -4.33, 9.97, 1.51, 1.11, 4.6, repro,
2007-10-06,3.89, -3.89, 1.28, 1.62, 1.19, 4.93, repro,
2007-10-07,4.18, -4.77, -1.20, 1.57, 1.18, 4.8, repro,
2007-10-08,5.49, -4.23, 1.01, 1.61, 1.15, 4.85, repro,
2007-10-09,5.06, -3.57, -2.43, 1.41, 1.07, 4.3, repro,
2007-10-10,4.27, -3.30, 2.41, 1.5, 1.1, 4.54, repro,
2007-10-11,5.00, -4.61, 3.62, 1.59, 1.15, 4.82, repro,
2007-10-12,6.57, -6.26, 1.91, 1.4, 1.02, 4.26, repro,
2007-10-13,5.69, -6.32, 5.73, 1.53, 1.11, 4.66, repro,
2007-10-14,5.16, -5.27, 4.21, 1.5, 1.09, 4.56, repro,
2007-10-15,5.29, -5.20, 2.13, 1.6, 1.16, 4.87, repro,
2007-10-16,4.68, -5.34, 5.79, 1.63, 1.17, 4.97, repro,
2007-10-17,4.95, -5.41, 6.49, 1.58, 1.15, 4.76, repro,
2007-10-18,5.84, -5.87, 5.22, 1.5, 1.09, 4.55, repro,
2007-10-19,5.74, -5.76, 8.93, 1.39, 1.02, 4.24, repro,
2007-10-20,6.19, -5.54, 2.70, 1.57, 1.14, 4.71, repro,
2007-10-21,6.58, -5.74, -1.09, 1.6, 1.15, 4.81, repro,
2007-10-22,7.30, -6.09, 0.01, 1.79, 1.29, 5.42, repro,
2007-10-23,8.01, -5.55, -1.13, 1.69, 1.22, 5.02, repro,
2007-10-24,6.67, -5.46, 0.73, 1.52, 1.11, 4.53, repro,
2007-10-25,6.80, -5.86, -3.17, 1.57, 1.12, 4.67, repro,
2007-10-26,7.15, -6.66, 2.25, 1.79, 1.29, 5.5, repro,
2007-10-27,7.22, -6.85, -6.42, 1.57, 1.13, 4.69, repro,
2007-10-28,7.95, -6.96, -2.27, 1.77, 1.27, 5.22, repro,
2007-10-29,7.64, -7.34, -2.46, 1.51, 1.09, 4.5, repro,
2007-10-30,7.16, -8.59, 6.22, 1.64, 1.18, 4.87, repro,
2007-10-31,6.36, -6.87, 7.02, 1.61, 1.15, 4.8, repro,
2007-11-01,7.42, -8.63, 6.02, 1.77, 1.27, 5.33, repro,
2007-11-02,6.25, -6.79, 5.58, 1.48, 1.06, 4.45, repro,
2007-11-03,7.39, -6.51, 6.82, 1.57, 1.13, 4.75, repro,
2007-11-04,9.47, -7.08, -1.15, 1.54, 1.12, 4.62, repro,
2007-11-05,8.17, -6.45, -0.78, 1.56, 1.13, 4.76, repro,
2007-11-06,7.29, -7.44, -0.94, 1.5, 1.08, 4.54, repro,
2007-11-07,7.36, -7.90, -1.37, 1.59, 1.14, 4.86, repro,
2007-11-08,7.31, -8.42, -1.46, 1.58, 1.15, 4.73, repro,
2007-11-09,7.73, -8.31, 9.87, 1.59, 1.16, 4.81, repro,
2007-11-10,5.94, -8.12, 8.63, 1.64, 1.18, 5.03, repro,
2007-11-11,7.27, -9.09, 7.87, 1.85, 1.33, 5.69, repro,
2007-11-12,6.35, -7.03, 6.80, 1.63, 1.17, 5.01, repro,
2007-11-13,7.02, -8.61, 5.02, 1.73, 1.29, 5.24, repro,
2007-11-14,7.26, -6.35, 5.46, 1.67, 1.2, 5.1, repro,
2007-11-15,6.25, -8.64, 2.96, 1.47, 1.07, 4.49, repro,
2007-11-16,6.20, -9.14, 6.08, 1.54, 1.12, 4.68, repro,
2007-11-17,8.36, -11.05, 4.72, 1.45, 1.08, 4.42, repro,
2007-11-18,8.56, -10.29, 2.80, 1.43, 1.04, 4.38, repro,
2007-11-19,7.84, -8.08, 1.58, 1.56, 1.15, 4.75, repro,
2007-11-20,8.28, -9.82, -1.15, 1.56, 1.16, 4.76, repro,
2007-11-21,8.09, -9.09, -2.07, 1.55, 1.14, 4.75, repro,
2007-11-22,9.22, -9.58, -3.30, 1.69, 1.24, 5.16, repro,
2007-11-23,7.81, -10.59, 5.49, 1.69, 1.23, 5.1, repro,
2007-11-24,6.66, -9.21, -2.00, 1.66, 1.23, 5.04, repro,
2007-11-25,7.58, -10.62, -0.15, 1.67, 1.27, 5.16, repro,
2007-11-26,7.63, -9.66, 0.32, 1.63, 1.21, 5.04, repro,
2007-11-27,10.62, -9.85, -8.77, 1.57, 1.17, 4.8, repro,
2007-11-28,8.23, -9.82, -6.65, 1.47, 1.07, 4.59, repro,
2007-11-29,7.84, -8.17, -11.00, 1.55, 1.18, 4.64, repro,
2007-11-30,7.95, -8.33, -10.16, 1.5, 1.15, 4.64, repro,
2007-12-01,8.62, -8.59, -6.08, 1.38, 1.05, 4.33, repro,
2007-12-02,7.39, -9.08, -1.05, 1.58, 1.21, 4.98, repro,
2007-12-03,9.47, -9.55, -3.92, 1.4, 1.06, 4.4, repro,
2007-12-04,9.29, -11.32, -3.44, 1.44, 1.1, 4.37, repro,
2007-12-05,8.26, -8.11, -4.41, 1.83, 1.34, 5.59, repro,
2007-12-06,9.56, -8.83, -8.11, 1.48, 1.13, 4.45, repro,
2007-12-07,10.90, -9.52, -4.54, 1.56, 1.19, 4.71, repro,
2007-12-08,9.75, -11.50, -5.43, 1.75, 1.31, 5.34, repro,
2007-12-09,9.66, -9.23, -8.73, 1.72, 1.28, 5.19, repro,
2007-12-10,9.18, -10.97, -5.23, 1.88, 1.42, 5.84, repro,
2007-12-11,10.33, -10.48, -3.43, 1.91, 1.4, 5.79, repro,
2007-12-12,9.10, -8.46, -8.31, 1.56, 1.12, 4.85, repro,
2007-12-13,9.08, -9.36, -8.56, 1.45, 1.1, 4.49, repro,
2007-12-14,9.16, -9.62, -9.20, 1.47, 1.1, 4.62, repro,
2007-12-15,7.24, -10.02, 0.64, 1.5, 1.13, 4.71, repro,
2007-12-16,8.93, -10.45, 0.18, 1.64, 1.19, 4.96, repro,
2007-12-17,9.41, -10.14, -1.52, 1.52, 1.12, 4.63, repro,
2007-12-18,9.30, -10.78, -4.18, 1.73, 1.26, 5.24, repro,
2007-12-19,9.15, -10.58, 1.76, 1.36, 1, 4.22, repro,
2007-12-20,9.31, -10.76, -0.59, 1.47, 1.09, 4.51, repro,
2007-12-21,10.99, -12.25, -1.18, 1.54, 1.15, 4.75, repro,
2007-12-22,8.34, -10.57, -6.86, 1.51, 1.13, 4.66, repro,
2007-12-23,9.34, -11.03, -2.80, 1.57, 1.17, 4.86, repro,
2007-12-24,9.81, -11.00, -3.57, 1.63, 1.24, 5.03, repro,
2007-12-25,11.69, -12.77, -4.76, 1.76, 1.26, 5.35, repro,
2007-12-26,10.95, -11.89, -10.18, 1.55, 1.13, 4.71, repro,
2007-12-27,11.12, -11.40, 0.15, 1.63, 1.18, 4.98, repro,
2007-12-28,10.61, -12.06, -2.09, 1.38, 1.01, 4.26, repro,
2007-12-29,10.33, -11.96, -0.20, 1.4, 1.05, 4.32, repro,
2007-12-30,10.36, -11.10, -9.24, 1.38, 1.01, 4.25, repro,
2007-12-31,11.11, -11.25, -9.42, 1.49, 1.07, 4.46, repro,
2008-01-01,11.68, -12.56, -5.87, 1.76, 1.3, 5.36, repro,
2008-01-02,10.48, -12.57, 0.68, 1.61, 1.18, 4.92, repro,
2008-01-03,8.74, -11.79, 3.12, 1.37, 1, 4.18, repro,
2008-01-04,9.34, -12.63, 4.06, 1.34, 0.98, 4.11, repro,
2008-01-05,9.12, -12.28, 5.40, 1.31, 0.98, 4.02, repro,
2008-01-06,9.95, -12.98, -1.48, 1.48, 1.09, 4.47, repro,
2008-01-07,10.53, -12.67, -2.52, 1.53, 1.08, 4.47, repro,
2008-01-08,10.72, -13.19, -6.38, 1.5, 1.07, 4.33, repro,
2008-01-09,10.62, -12.83, -4.05, 1.46, 1.1, 4.44, repro,
2008-01-10,9.58, -11.69, -3.03, 1.43, 1.02, 4.16, repro,
2008-01-11,10.11, -12.06, -3.87, 1.33, 0.99, 4.03, repro,
2008-01-12,10.93, -12.04, -3.04, 1.38, 1.03, 4.14, repro,
2008-01-13,10.03, -12.65, -9.66, 1.55, 1.09, 4.47, repro,
2008-01-14,10.44, -12.44, -7.55, 1.42, 1.05, 4.25, repro,
2008-01-15,12.08, -13.69, -8.15, 1.46, 1.08, 4.39, repro,
2008-01-16,10.87, -11.98, -12.77, 1.78, 1.43, 5.38, repro,
2008-01-17,12.32, -12.89, -14.46, 1.62, 1.2, 4.93, repro,
2008-01-18,14.42, -13.56, -13.13, 1.72, 1.26, 5.19, repro,
2008-01-19,11.12, -12.34, -15.70, 1.5, 1.1, 4.51, repro,
2008-01-20,13.29, -13.34, -19.38, 1.56, 1.14, 4.72, repro,
2008-01-21,11.13, -12.62, -15.70, 1.93, 1.38, 5.78, repro,
2008-01-22,11.96, -12.10, -13.07, 1.77, 1.28, 5.29, repro,
2008-01-23,12.31, -13.62, -7.89, 1.53, 1.11, 4.56, repro,
2008-01-24,11.97, -13.45, -7.79, 1.44, 1.01, 4.17, repro,
2008-01-25,11.16, -14.16, -2.38, 1.4, 1.02, 4.21, repro,
2008-01-26,12.18, -14.23, -2.87, 1.47, 1.08, 4.43, repro,
2008-01-27,13.03, -14.99, -8.34, 1.4, 1.03, 4.25, repro,
2008-01-28,13.57, -15.16, -1.89, 1.32, 0.97, 4.03, repro,
2008-01-29,12.27, -14.36, -1.23, 1.39, 1.02, 4.25, repro,
2008-01-30,12.53, -14.23, -2.36, 1.39, 1, 4.17, repro,
2008-01-31,12.84, -14.77, -1.91, 1.31, 0.96, 3.97, repro,
2008-02-01,12.33, -14.44, -0.63, 1.37, 1.01, 4.13, repro,
2008-02-02,13.16, -15.55, -1.74, 1.38, 1, 4.16, repro,
2008-02-03,13.38, -15.76, -4.17, 1.53, 1.11, 4.6, repro,
2008-02-04,12.66, -14.36, -5.15, 1.37, 1.01, 4.16, repro,
2008-02-05,12.92, -14.78, -3.80, 1.36, 0.99, 4.1, repro,
2008-02-06,13.02, -15.53, 0.59, 1.44, 1.06, 4.35, repro,
2008-02-07,13.81, -15.87, -0.52, 1.35, 0.96, 4.07, repro,
2008-02-08,14.57, -15.37, -7.36, 1.34, 0.97, 4.02, repro,
2008-02-09,15.21, -15.58, -5.20, 1.42, 1.02, 4.27, repro,
2008-02-10,14.87, -15.71, -1.48, 1.39, 1.01, 4.17, repro,
2008-02-11,17.05, -17.40, 1.30, 1.53, 1.1, 4.58, repro,
2008-02-12,14.27, -16.35, -5.66, 1.53, 1.09, 4.58, repro,
2008-02-13,15.52, -16.69, -4.47, 1.54, 1.1, 4.62, repro,
2008-02-14,15.94, -16.36, -0.01, 1.66, 1.19, 4.96, repro,
2008-02-15,14.19, -15.30, -2.10, 1.55, 1.12, 4.71, repro,
2008-02-16,15.66, -16.69, -4.11, 1.54, 1.1, 4.53, repro,
2008-02-17,20.43, -18.79, -2.38, 1.82, 1.28, 5.51, repro,
2008-02-18,19.57, -20.48, -2.54, 1.89, 1.34, 5.69, repro,
2008-02-19,15.53, -18.57, -3.26, 1.68, 1.21, 5.08, repro,
2008-02-20,14.49, -17.73, 1.13, 1.68, 1.19, 5.06, repro,
2008-02-21,14.83, -18.04, -3.53, 1.79, 1.24, 5.33, repro,
2008-02-22,15.40, -16.77, -3.91, 1.7, 1.19, 5.05, repro,
2008-02-23,15.00, -16.18, -10.59, 1.5, 1.07, 4.43, repro,
2008-02-24,15.26, -16.33, -10.16, 1.47, 1.08, 4.39, repro,
2008-02-25,15.92, -17.90, -8.38, 1.7, 1.17, 4.98, repro,
2008-02-26,15.26, -16.22, -13.82, 1.63, 1.13, 4.85, repro,
2008-02-27,15.20, -16.85, -9.51, 1.45, 1.03, 4.3, repro,
2008-02-28,16.08, -17.65, -10.95, 1.51, 1.07, 4.55, repro,
2008-02-29,14.94, -16.40, -12.12, 1.64, 1.18, 4.92, repro,
2008-03-01,13.79, -15.87, -11.84, 1.48, 1.1, 4.39, repro,
2008-03-02,15.64, -16.43, -10.46, 1.65, 1.2, 4.92, repro,
2008-03-03,15.30, -16.06, -13.75, 1.59, 1.12, 4.83, repro,
2008-03-04,17.12, -17.27, -11.08, 1.73, 1.23, 5.19, repro,
2008-03-05,16.14, -19.57, -13.18, 1.83, 1.31, 5.59, repro,
2008-03-06,18.63, -17.54, -6.51, 1.88, 1.33, 5.66, repro,
2008-03-07,15.52, -18.45, -6.18, 1.54, 1.09, 4.65, repro,
2008-03-08,14.85, -17.62, -6.74, 1.59, 1.17, 4.77, repro,
2008-03-09,16.62, -20.21, -7.80, 1.74, 1.26, 5.36, repro,
2008-03-10,14.26, -17.49, -8.75, 1.56, 1.15, 4.67, repro,
2008-03-11,13.64, -15.00, -14.47, 1.48, 1.07, 4.44, repro,
2008-03-12,14.51, -15.91, -13.63, 1.54, 1.09, 4.58, repro,
2008-03-13,15.05, -16.35, -12.59, 1.46, 1.02, 4.29, repro,
2008-03-14,14.90, -16.23, -14.55, 1.31, 0.96, 3.83, repro,
2008-03-15,17.08, -17.26, -15.50, 1.45, 1, 4.3, repro,
2008-03-16,14.86, -17.79, -7.78, 1.38, 0.98, 4.13, repro,
2008-03-17,15.23, -17.46, -4.90, 1.4, 0.99, 4.21, repro,
2008-03-18,14.89, -16.99, -9.31, 1.46, 1.04, 4.36, repro,
2008-03-19,15.02, -18.02, -5.98, 1.59, 1.09, 4.77, repro,
2008-03-20,16.09, -17.94, -11.59, 1.56, 1.1, 4.7, repro,
2008-03-21,14.43, -16.64, -11.91, 1.47, 1.06, 4.42, repro,
2008-03-22,16.53, -17.69, -12.44, 1.72, 1.17, 5.14, repro,
2008-03-23,14.96, -16.90, -8.93, 1.64, 1.1, 4.88, repro,
2008-03-24,16.03, -18.93, -5.68, 1.66, 1.14, 4.99, repro,
2008-03-25,15.23, -17.87, -13.01, 1.63, 1.12, 4.86, repro,
2008-03-26,15.37, -17.62, -14.89, 1.59, 1.11, 4.72, repro,
2008-03-27,14.14, -16.78, -16.07, 1.64, 1.14, 4.78, repro,
2008-03-28,13.61, -15.94, -13.94, 1.4, 0.98, 4.28, repro,
2008-03-29,14.85, -16.19, -13.85, 1.43, 1.04, 4.28, repro,
2008-03-30,15.35, -17.22, -11.78, 1.44, 1.03, 4.35, repro,
2008-03-31,15.74, -17.02, -13.98, 1.41, 1.03, 4.22, repro,
2008-04-01,17.81, -18.01, -13.05, 1.55, 1.06, 4.63, repro,
2008-04-02,16.27, -18.27, -12.26, 1.56, 1.14, 4.75, repro,
2008-04-03,15.88, -17.84, -14.02, 1.55, 1.12, 4.67, repro,
2008-04-04,15.62, -17.34, -15.66, 1.57, 1.11, 4.75, repro,
2008-04-05,15.13, -18.11, -8.66, 1.56, 1.1, 4.65, repro,
2008-04-06,14.85, -18.03, -8.10, 1.6, 1.14, 4.81, repro,
2008-04-07,14.25, -17.35, -10.95, 1.49, 1.08, 4.48, repro,
2008-04-08,13.99, -17.16, -13.24, 1.47, 1.01, 4.35, repro,
2008-04-09,15.45, -18.17, -10.22, 1.53, 1.12, 4.55, repro,
2008-04-10,13.71, -17.36, -14.68, 1.54, 1.11, 4.56, repro,
2008-04-11,14.01, -17.15, -12.84, 1.49, 1.1, 4.37, repro,
2008-04-12,14.11, -17.36, -10.10, 1.4, 1.02, 4.18, repro,
2008-04-13,15.02, -18.33, -7.83, 1.52, 1.11, 4.52, repro,
2008-04-14,14.58, -17.56, -7.01, 1.57, 1.15, 4.74, repro,
2008-04-15,15.12, -17.40, -5.50, 1.54, 1.11, 4.55, repro,
2008-04-16,13.08, -17.36, -9.18, 1.61, 1.15, 4.71, repro,
2008-04-17,13.43, -17.28, -11.23, 1.59, 1.15, 4.76, repro,
2008-04-18,14.12, -15.95, -20.65, 1.49, 1.12, 4.47, repro,
2008-04-19,13.56, -15.91, -19.45, 1.47, 1.08, 4.44, repro,
2008-04-20,13.36, -15.73, -18.36, 1.46, 1.05, 4.39, repro,
2008-04-21,13.30, -15.78, -16.21, 1.52, 1.1, 4.56, repro,
2008-04-22,12.94, -15.43, -13.94, 1.45, 1.08, 4.4, repro,
2008-04-23,13.14, -15.73, -16.02, 1.64, 1.14, 4.85, repro,
2008-04-24,12.57, -16.67, -13.73, 1.54, 1.08, 4.71, repro,
2008-04-25,14.61, -17.37, -16.31, 1.48, 1.09, 4.52, repro,
2008-04-26,15.35, -20.29, -13.17, 1.82, 1.28, 5.35, repro,
2008-04-27,14.98, -20.81, -8.81, 1.73, 1.26, 5.25, repro,
2008-04-28,13.94, -17.69, -12.43, 1.81, 1.27, 5.39, repro,
2008-04-29,13.14, -17.14, -11.78, 1.56, 1.13, 4.65, repro,
2008-04-30,13.29, -16.25, -12.75, 1.48, 1.04, 4.53, repro,
2008-05-01,13.95, -17.68, -10.83, 1.49, 1.06, 4.56, repro,
2008-05-02,15.95, -19.24, -14.64, 1.71, 1.22, 5.14, repro,
2008-05-03,15.46, -19.63, -9.52, 1.68, 1.17, 5.06, repro,
2008-05-04,14.15, -19.03, -6.88, 1.55, 1.13, 4.7, repro,
2008-05-05,14.38, -19.24, -11.57, 1.51, 1.1, 4.55, repro,
2008-05-06,14.77, -18.22, -12.40, 1.61, 1.12, 4.85, repro,
2008-05-07,14.18, -18.17, -17.06, 1.64, 1.15, 4.93, repro,
2008-05-08,15.29, -18.64, -16.43, 1.59, 1.12, 4.72, repro,
2008-05-09,14.15, -18.25, -12.68, 1.56, 1.11, 4.75, repro,
2008-05-10,13.03, -17.95, -10.97, 1.47, 1.05, 4.53, repro,
2008-05-11,14.27, -18.73, -9.64, 1.52, 1.11, 4.7, repro,
2008-05-12,16.53, -21.27, -9.26, 1.52, 1.1, 4.7, repro,
2008-05-13,14.28, -18.51, -7.54, 1.43, 1.06, 4.44, repro,
2008-05-14,13.97, -20.57, -6.75, 1.56, 1.13, 4.8, repro,
2008-05-15,14.53, -19.48, -11.39, 1.55, 1.15, 4.74, repro,
2008-05-16,14.55, -18.05, -12.82, 1.55, 1.13, 4.78, repro,
2008-05-17,14.01, -17.45, -15.53, 1.72, 1.25, 5.29, repro,
2008-05-18,14.43, -17.30, -14.56, 1.46, 1.08, 4.56, repro,
2008-05-19,14.08, -16.75, -16.04, 1.41, 1.04, 4.39, repro,
2008-05-20,15.38, -17.92, -14.39, 1.46, 1.11, 4.54, repro,
2008-05-21,15.05, -18.56, -13.77, 1.47, 1.11, 4.54, repro,
2008-05-22,15.01, -17.07, -17.33, 1.51, 1.18, 4.68, repro,
2008-05-23,15.71, -17.23, -16.63, 1.48, 1.14, 4.68, repro,
2008-05-24,15.87, -17.97, -14.65, 1.67, 1.25, 5.18, repro,
2008-05-25,15.87, -16.87, -16.61, 1.81, 1.34, 5.66, repro,
2008-05-26,16.16, -16.85, -8.75, 1.49, 1.13, 4.66, repro,
2008-05-27,14.24, -16.31, -14.77, 1.49, 1.13, 4.68, repro,
2008-05-28,15.57, -18.23, -12.93, 1.43, 1.09, 4.45, repro,
2008-05-29,15.37, -18.97, -8.61, 1.42, 1.08, 4.42, repro,
2008-05-30,16.31, -18.91, -12.90, 1.46, 1.1, 4.55, repro,
2008-05-31,18.80, -19.85, -11.94, 1.77, 1.3, 5.55, repro,
2008-06-01,19.02, -21.07, -9.25, 1.63, 1.21, 5.12, repro,
2008-06-02,17.52, -21.15, -2.65, 1.76, 1.32, 5.51, repro,
2008-06-03,15.78, -21.81, -4.59, 1.46, 1.11, 4.57, repro,
2008-06-04,16.51, -21.37, -5.73, 1.48, 1.16, 4.57, repro,
2008-06-05,16.22, -20.50, -9.71, 1.44, 1.09, 4.49, repro,
2008-06-06,17.06, -21.81, -11.88, 1.43, 1.12, 4.37, repro,
2008-06-07,15.91, -21.26, -8.71, 1.49, 1.16, 4.66, repro,
2008-06-08,15.95, -19.82, -12.53, 1.55, 1.16, 4.73, repro,
2008-06-09,15.06, -20.74, -14.05, 1.52, 1.13, 4.66, repro,
2008-06-10,15.95, -20.13, -17.24, 1.64, 1.26, 5.09, repro,
2008-06-11,16.08, -20.15, -14.62, 1.51, 1.15, 4.68, repro,
2008-06-12,16.42, -20.44, -18.84, 1.56, 1.2, 4.84, repro,
2008-06-13,16.04, -20.08, -14.58, 1.47, 1.13, 4.55, repro,
2008-06-14,17.03, -21.04, -17.66, 1.79, 1.35, 5.55, repro,
2008-06-15,16.47, -22.03, -13.98, 1.44, 1.11, 4.46, repro,
2008-06-16,16.27, -21.14, -10.56, 1.45, 1.09, 4.5, repro,
2008-06-17,15.64, -20.10, -12.44, 1.37, 1.05, 4.24, repro,
2008-06-18,15.41, -21.27, -13.25, 1.53, 1.14, 4.73, repro,
2008-06-19,15.74, -20.69, -12.19, 1.39, 1.05, 4.3, repro,
2008-06-20,15.68, -20.62, -10.09, 1.49, 1.12, 4.64, repro,
2008-06-21,14.96, -19.13, -11.58, 1.72, 1.28, 5.35, repro,
2008-06-22,17.78, -23.29, -10.82, 1.6, 1.19, 4.94, repro,
2008-06-23,15.66, -22.03, -5.81, 1.47, 1.13, 4.55, repro,
2008-06-24,16.24, -20.60, -10.66, 1.48, 1.13, 4.61, repro,
2008-06-25,18.22, -22.91, -5.37, 1.46, 1.12, 4.52, repro,
2008-06-26,18.16, -24.60, 1.53, 1.65, 1.28, 5.35, repro,
2008-06-27,18.39, -23.35, -5.56, 1.56, 1.19, 4.83, repro,
2008-06-28,15.56, -21.64, -10.30, 1.39, 1.06, 4.34, repro,
2008-06-29,15.65, -21.22, -8.79, 1.48, 1.13, 4.56, repro,
2008-06-30,16.66, -20.81, -10.31, 1.37, 1.05, 4.22, repro,
2008-07-01,15.39, -19.60, -11.73, 1.42, 1.09, 4.38, repro,
2008-07-02,16.19, -20.62, -10.07, 1.36, 1.04, 4.18, repro,
2008-07-03,15.90, -22.55, -5.37, 1.76, 1.31, 5.45, repro,
2008-07-04,19.17, -23.75, -8.45, 1.61, 1.24, 4.88, repro,
2008-07-05,15.64, -22.26, -7.82, 1.61, 1.25, 4.91, repro,
2008-07-06,17.04, -23.41, -1.54, 1.53, 1.2, 4.67, repro,
2008-07-07,16.87, -23.33, -7.30, 1.63, 1.26, 4.97, repro,
2008-07-08,17.12, -22.78, -7.05, 1.4, 1.09, 4.26, repro,
2008-07-09,16.73, -22.50, -7.69, 1.38, 1.1, 4.25, repro,
2008-07-10,16.61, -22.80, -11.60, 1.32, 1.04, 4.03, repro,
2008-07-11,16.87, -22.90, -13.97, 1.36, 1.06, 4.17, repro,
2008-07-12,18.02, -23.89, -10.86, 1.37, 1.06, 4.18, repro,
2008-07-13,16.20, -22.29, -6.59, 1.33, 1.04, 4.08, repro,
2008-07-14,17.41, -23.10, -10.28, 1.37, 1.06, 4.17, repro,
2008-07-15,18.03, -23.06, -6.60, 1.49, 1.18, 4.51, repro,
2008-07-16,16.86, -22.57, -12.35, 1.5, 1.15, 4.55, repro,
2008-07-17,17.18, -23.24, -5.84, 1.5, 1.14, 4.55, repro,
2008-07-18,17.30, -23.54, -4.06, 1.6, 1.19, 4.86, repro,
2008-07-19,15.81, -23.75, -0.05, 1.53, 1.17, 4.66, repro,
2008-07-20,16.48, -23.65, 1.87, 1.5, 1.13, 4.51, repro,
2008-07-21,16.86, -23.68, -4.71, 1.55, 1.18, 4.7, repro,
2008-07-22,17.97, -24.13, -9.49, 1.4, 1.06, 4.24, repro,
2008-07-23,18.18, -24.01, -7.80, 1.45, 1.1, 4.37, repro,
2008-07-24,17.73, -25.29, -9.01, 1.44, 1.08, 4.33, repro,
2008-07-25,18.45, -30.61, -9.28, 2, 1.46, 6.09, repro,
2008-07-26,17.36, -24.89, -5.47, 1.62, 1.2, 4.91, repro,
2008-07-27,17.84, -24.40, -2.67, 1.44, 1.07, 4.33, repro,
2008-07-28,18.14, -25.28, -1.95, 1.41, 1.07, 4.23, repro,
2008-07-29,16.99, -23.90, 0.01, 1.74, 1.26, 5.16, repro,
2008-07-30,17.28, -25.34, -0.58, 1.65, 1.21, 4.93, repro,
2008-07-31,18.91, -24.97, -3.84, 1.59, 1.18, 4.81, repro,
2008-08-01,18.93, -24.53, -4.23, 1.69, 1.24, 5.11, repro,
2008-08-02,18.28, -24.67, -1.66, 1.33, 1, 4.04, repro,
